q1,q2,q3,q4,q5,q6,x,y,z
0,0.1949,1.2077,0,0.1213,0,500.0004,0,500.0009
0.0001,0.1932,1.2079,0,0.1215,0,500,0.0408,500.6221
0.0006,0.1881,1.2086,0,0.1219,0,500,0.3244,502.4763
0.0022,0.1798,1.2097,0,0.1226,0,500,1.0843,505.5176
0.0051,0.1684,1.2111,0.0001,0.1235,0,500,2.5343,509.6757
0.0097,0.1542,1.2128,0.0002,0.1246,0,500,4.8606,514.8583
0.0164,0.1375,1.2146,0.0003,0.1259,0,500,8.2137,520.9571
0.0254,0.1188,1.2165,0.0005,0.1274,0,500,12.7024,527.8543
0.0367,0.0984,1.2183,0.0008,0.129,0,500,18.3883,535.4298
0.0505,0.0768,1.2198,0.0011,0.1307,0,500,25.2834,543.5678
0.0666,0.0542,1.221,0.0014,0.1324,0,500,33.3482,552.1635
0.0847,0.0312,1.2216,0.0019,0.1341,0,500,42.4928,561.128
0.1047,0.0081,1.2217,0.0023,0.1357,0,500,52.5788,570.3923
0.1261,-0.015,1.2211,0.0028,0.1373,0,500,63.4239,579.9089
0.1484,-0.0377,1.2197,0.0033,0.1388,0,500,74.8078,589.6522
0.1712,-0.06,1.2176,0.0038,0.1401,0,500,86.4791,599.616
0.1938,-0.0819,1.2148,0.0044,0.1414,0,500,98.1641,609.81
0.2156,-0.1034,1.2114,0.0049,0.1425,0,500,109.5759,620.2541
0.2362,-0.1247,1.2074,0.0054,0.1436,0,500,120.4244,630.9717
0.255,-0.1459,1.203,0.0058,0.1446,0,500,130.4261,641.9822
0.2716,-0.1671,1.1984,0.0062,0.1456,0,500,139.314,653.2935
0.2855,-0.1886,1.1936,0.0065,0.1465,0,500,146.8468,664.8945
0.2965,-0.2105,1.1889,0.0068,0.1475,0,500,152.8175,676.749
0.3042,-0.2328,1.1843,0.007,0.1485,0,500,157.0603,688.791
0.3085,-0.2554,1.18,0.0071,0.1496,0,500,159.4567,700.9214
0.3094,-0.2783,1.176,0.0071,0.1507,0,500,159.9395,713.0082
0.3068,-0.3011,1.1725,0.0071,0.1518,0,500,158.4952,724.8879
0.3007,-0.3237,1.1694,0.0069,0.153,0,500,155.1641,736.3704
0.2914,-0.3456,1.1669,0.0067,0.1542,0,500,150.0398,747.2454
0.2789,-0.3665,1.1649,0.0064,0.1554,0,500,143.2648,757.2919
0.2636,-0.3858,1.1635,0.006,0.1565,0,500,135.0264,766.2882
0.2459,-0.4032,1.1627,0.0055,0.1576,0,500,125.5498,774.024
0.2261,-0.4183,1.1626,0.005,0.1586,0,500,115.0902,780.3119
0.2048,-0.4307,1.1631,0.0044,0.1595,0,500,103.924,784.9996
0.1825,-0.4402,1.1643,0.0038,0.1603,0,500,92.3393,787.9799
0.1598,-0.4465,1.1662,0.0032,0.1609,0,500,80.6259,789.2
0.1372,-0.4496,1.1686,0.0026,0.1614,0,500,69.0653,788.6677
0.1153,-0.4494,1.1717,0.002,0.1617,0,500,57.9211,786.4549
0.0945,-0.4463,1.1752,0.0015,0.1619,0,500,47.4302,782.6982
0.0754,-0.4403,1.179,0.0009,0.1619,0,500,37.7947,777.5961
0.0583,-0.4319,1.183,0.0005,0.1618,0,500,29.1755,771.402
0.0433,-0.4214,1.1871,0.0001,0.1615,0,500,21.6873,764.4158
0.0308,-0.4096,1.1911,-0.0003,0.1611,0,500,15.395,756.9709
0.0206,-0.397,1.1948,-0.0006,0.1606,0,500,10.3122,749.4206
0.0128,-0.3843,1.1982,-0.0008,0.1601,0,500,6.4019,742.1222
0.0072,-0.3723,1.2011,-0.0009,0.1596,0,500,3.5783,735.421
0.0034,-0.3617,1.2035,-0.001,0.1591,0,500,1.7112,729.6339
0.0013,-0.3531,1.2053,-0.0011,0.1586,0,500,0.6313,725.0351
0.0003,-0.347,1.2065,-0.0011,0.1583,0,500,0.1376,721.8424
0,-0.3439,1.2072,-0.0011,0.1582,0,500,0.0052,720.2072
0,-0.3439,1.2072,-0.0011,0.1582,0,500,-0.0041,720.2063
-0.0002,-0.347,1.2065,-0.0011,0.1583,0,500,-0.1373,721.8404
-0.0012,-0.3531,1.2053,-0.0011,0.1586,0,500,-0.631,725.0331
-0.0034,-0.3617,1.2035,-0.0012,0.1591,0,500,-1.7107,729.632
-0.0071,-0.3723,1.2011,-0.0013,0.1596,0,500,-3.5776,735.4191
-0.0128,-0.3843,1.1982,-0.0015,0.1601,0,500,-6.401,742.1204
-0.0206,-0.397,1.1948,-0.0017,0.1606,0,500,-10.3112,749.4189
-0.0307,-0.4096,1.1911,-0.0019,0.1611,0,500,-15.3938,756.9693
-0.0433,-0.4214,1.1871,-0.0023,0.1615,0,500,-21.6859,764.4144
-0.0582,-0.4318,1.183,-0.0027,0.1618,0,500,-29.174,771.4008
-0.0754,-0.4403,1.179,-0.0032,0.1619,0,500,-37.793,777.595
-0.0945,-0.4463,1.1752,-0.0037,0.1619,0,500,-47.4284,782.6974
-0.1152,-0.4494,1.1717,-0.0043,0.1618,0,500,-57.9192,786.4543
-0.1371,-0.4496,1.1686,-0.0048,0.1614,0,500,-69.0633,788.6674
-0.1597,-0.4465,1.1662,-0.0055,0.161,0,500,-80.6239,789.2001
-0.1825,-0.4402,1.1643,-0.0061,0.1603,0,500,-92.3373,787.9803
-0.2048,-0.4307,1.1631,-0.0067,0.1596,0,500,-103.9221,785.0002
-0.226,-0.4183,1.1626,-0.0072,0.1587,0,500,-115.0884,780.3128
-0.2458,-0.4032,1.1627,-0.0077,0.1577,0,500,-125.5482,774.0251
-0.2635,-0.3858,1.1635,-0.0082,0.1566,0,500,-135.025,766.2896
-0.2788,-0.3665,1.1649,-0.0086,0.1555,0,500,-143.2635,757.2935
